time,Lon,Lat,altitude,speed
2011-09-20 07:23:05,108.95616,34.22,445.0,0.0
2011-09-20 07:24:35,108.95616,34.21716,416.0,0.0
2011-09-20 07:25:15,108.95623,34.21585,424.0,3.55
2011-09-20 07:25:45,108.9562,34.21472,431.0,3.8763
2011-09-20 07:26:05,108.95622,34.21405,435.0,4.0031
2011-09-20 07:26:15,108.95629,34.21365,436.0,3.9755
2011-09-20 07:26:25,108.95621,34.21333,433.0,4.0033
2011-09-20 07:26:35,108.95577,34.21341,439.0,2.7379
2011-09-20 07:26:45,108.95544,34.21334,446.0,3.5406
2011-09-20 07:26:55,108.95501,34.21278,453.0,4.9475
2011-09-20 07:27:15,108.9533,34.21336,472.0,6.5597
2011-09-20 07:27:35,108.9521,34.21359,485.0,7.0584
2011-09-20 07:27:45,108.95167,34.21342,465.0,5.001
2011-09-20 07:28:15,108.94986,34.21353,458.0,5.152
2011-09-20 07:28:25,108.94918,34.21349,457.0,5.7273
2011-09-20 07:28:35,108.9487,34.21336,441.0,5.4163
2011-09-20 07:28:45,108.94819,34.21347,437.0,4.553
2011-09-20 07:29:05,108.94702,34.21339,422.0,5.1505
2011-09-20 07:29:55,108.94399,34.2135,404.0,5.5174
2011-09-20 07:30:25,108.94252,34.21338,398.0,5.1724
2011-09-20 07:30:35,108.9422,34.2133,399.0,4.1523
2011-09-20 07:30:45,108.94196,34.21309,399.0,3.0379
2011-09-20 07:31:05,108.94199,34.21258,405.0,2.7452
2011-09-20 07:31:25,108.94184,34.21181,406.0,3.5689
2011-09-20 07:31:55,108.94179,34.21049,410.0,4.6625
2011-09-20 07:32:25,108.94181,34.20917,413.0,4.8928
2011-09-20 07:32:35,108.94191,34.20882,415.0,4.6506
2011-09-20 07:32:45,108.94183,34.20845,411.0,4.0041
2011-09-20 07:33:05,108.94207,34.20775,409.0,3.9962
2011-09-20 07:33:15,108.9421,34.20736,406.0,4.124
2011-09-20 07:33:25,108.94188,34.20698,407.0,4.3692
2011-09-20 07:33:35,108.94178,34.20655,415.0,4.7377
2011-09-20 07:34:05,108.94181,34.20541,409.0,4.3674
2011-09-20 07:35:15,108.94173,34.20304,414.0,3.9032
2011-09-20 07:35:35,108.9418,34.20225,413.0,3.9042
2011-09-20 07:36:45,108.94106,34.19992,421.0,3.9151
2011-09-20 07:36:55,108.94074,34.19983,418.0,3.5776
2011-09-20 07:37:15,108.93982,34.1999,409.0,3.802
2011-09-20 07:37:45,108.93798,34.19989,412.0,5.0783
2011-09-20 07:37:55,108.9374,34.19995,411.0,5.5658
2011-09-20 07:38:05,108.93695,34.2001,407.0,4.8781
2011-09-20 07:38:25,108.9358,34.2,403.0,4.9084
2011-09-20 07:38:35,108.93524,34.20003,404.0,5.2485
2011-09-20 07:38:55,108.93446,34.19997,418.0,4.1094
2011-09-20 07:40:15,108.93109,34.20017,415.0,3.8198
2011-09-20 07:42:05,108.92441,34.20018,405.0,4.8661
2011-09-20 07:42:25,108.92388,34.20024,402.0,5.101
2011-09-20 07:42:55,108.92385,34.20019,403.0,1.0303
2011-09-20 07:45:45,108.9154,34.20026,410.0,3.8994
2011-09-20 07:46:55,108.91283,34.20019,410.0,4.2228
2011-09-20 07:47:15,108.91178,34.20024,404.0,3.6992
2011-09-20 07:47:25,108.91128,34.20018,403.0,4.7518
2011-09-20 07:47:45,108.91021,34.20026,409.0,4.8135
2011-09-20 07:49:15,108.90731,34.20021,408.0,3.3193
2011-09-20 07:50:35,108.90235,34.20028,405.0,4.2521
2011-09-20 07:51:15,108.89996,34.20025,399.0,5.6331
2011-09-20 07:51:25,108.89963,34.20029,400.0,5.003
2011-09-20 07:52:15,108.89688,34.20021,403.0,4.7216
2011-09-20 07:54:35,108.89122,34.20027,408.0,4.0708
2011-09-20 07:55:05,108.8906,34.20022,410.0,3.3974
2011-09-20 07:55:35,108.88979,34.20029,405.0,2.1922
2011-09-20 07:56:25,108.89022,34.20023,404.0,0.4371
2011-09-20 07:56:35,108.89053,34.20007,405.0,1.2053
2011-09-20 07:56:45,108.89051,34.1999,399.0,2.2681
2011-09-20 07:58:45,108.89035,34.19982,406.0,0.2489
2011-09-20 08:11:35,108.89031,34.19974,418.0,0.0288
2011-09-20 08:14:05,108.89022,34.19976,416.0,0.0149
2011-09-20 08:16:45,108.89033,34.19976,414.0,0.0093
2011-09-20 08:17:35,108.89032,34.19943,416.0,0.1801
2011-09-20 08:18:25,108.88943,34.19788,410.0,2.2484
2011-09-20 08:18:55,108.88893,34.19685,396.0,3.926
2011-09-20 08:19:35,108.88813,34.19548,396.0,4.1775
