time,Lon,Lat,altitude,speed
2013-12-22 13:45:21,109.09695,34.287056,403.0,0.0
2013-12-22 13:46:33,109.09967,34.284954,405.0,0.0
2013-12-22 13:47:10,109.1011,34.283497,407.0,5.0416
2013-12-22 13:47:55,109.10361,34.282032,408.0,5.932
2013-12-22 13:48:43,109.105705,34.28036,410.0,5.8962
2013-12-22 13:50:45,109.10562,34.280304,429.0,1.5677
2013-12-22 13:53:42,109.11183,34.275356,394.0,2.6468
2013-12-22 13:56:19,109.11747,34.269073,402.0,4.9606
2013-12-22 13:56:49,109.11877,34.26801,405.0,5.5417
2013-12-22 13:56:56,109.11925,34.267918,405.0,5.6206
2013-12-22 13:57:07,109.11983,34.26808,406.0,5.4287
2013-12-22 13:57:44,109.121376,34.266907,405.0,4.6959
2013-12-22 13:57:56,109.121284,34.26623,401.0,5.006
2013-12-22 13:58:44,109.12339,34.26457,403.0,5.3172
2013-12-22 14:00:29,109.1279,34.261616,406.0,5.1996
2013-12-22 14:02:18,109.12799,34.261223,402.0,2.6319
2013-12-22 14:03:16,109.12991,34.26006,401.0,1.5155
2013-12-22 14:03:35,109.12997,34.259457,402.0,3.4768
2013-12-22 14:04:34,109.13066,34.258026,408.0,3.0313
2013-12-22 14:06:20,109.13327,34.255383,403.0,3.304
2013-12-22 14:07:41,109.13475,34.253372,408.0,3.4204
2013-12-22 14:08:25,109.135826,34.252426,407.0,3.2328
2013-12-22 14:15:06,109.14187,34.248398,413.0,1.9255
2013-12-22 14:17:32,109.142105,34.248363,417.0,1.3399
2013-12-22 14:18:05,109.14249,34.248596,420.0,0.3413
2013-12-22 14:19:04,109.14338,34.247837,410.0,1.4237
2013-12-22 14:23:01,109.14756,34.245148,407.0,2.0387
2013-12-22 14:25:21,109.15188,34.241108,423.0,2.8695
2013-12-22 14:25:56,109.15105,34.240265,433.0,3.6037
2013-12-22 14:26:02,109.150764,34.240177,434.0,3.5547
2013-12-22 14:26:08,109.15074,34.239964,433.0,3.6631
2013-12-22 14:27:08,109.15257,34.237995,410.0,4.4544
2013-12-22 14:28:52,109.156395,34.236088,423.0,4.1175
2013-12-22 14:32:43,109.165634,34.230965,424.0,4.2775
2013-12-22 14:33:05,109.165245,34.230164,429.0,4.1376
2013-12-22 14:34:06,109.16363,34.22801,430.0,4.5387
2013-12-22 14:34:22,109.163506,34.227478,431.0,4.3996
2013-12-22 14:35:55,109.16074,34.224205,433.0,4.5836
2013-12-22 14:39:47,109.16968,34.22165,423.0,2.6508
2013-12-22 14:40:11,109.169586,34.220943,427.0,3.4787
2013-12-22 14:41:09,109.171684,34.220367,423.0,2.8418
2013-12-22 14:41:27,109.17214,34.220432,424.0,3.179
2013-12-22 14:43:22,109.17423,34.21988,422.0,1.8066
2013-12-22 14:46:11,109.17826,34.218132,419.0,2.1764
2013-12-22 14:58:02,109.19374,34.214165,427.0,2.1627
2013-12-22 14:58:59,109.19381,34.213997,428.0,1.9556
2013-12-22 14:59:42,109.193855,34.21408,429.0,0.1418
2013-12-22 15:00:24,109.19379,34.21401,431.0,0.0275
2013-12-22 15:01:37,109.19433,34.213993,432.0,0.389
2013-12-22 15:05:57,109.197266,34.21318,430.0,0.9991
2013-12-22 15:08:47,109.20231,34.21106,430.0,1.8674
2013-12-22 15:09:21,109.20276,34.211,434.0,2.7468
2013-12-22 15:11:37,109.201195,34.20917,436.0,1.3755
2013-12-22 15:12:03,109.19975,34.208485,435.0,2.4288
2013-12-22 15:12:27,109.198044,34.208538,434.0,5.9632
2013-12-22 15:12:41,109.19717,34.20888,429.0,6.3495
2013-12-22 15:13:03,109.19606,34.209736,426.0,6.275
2013-12-22 15:13:35,109.194984,34.211246,426.0,6.1313
2013-12-22 15:13:55,109.19395,34.21203,427.0,6.1632
2013-12-22 15:14:09,109.19312,34.212334,426.0,6.1705
2013-12-22 15:17:00,109.18231,34.21493,426.0,6.0424
2013-12-22 15:18:39,109.17616,34.216732,421.0,6.0532
2013-12-22 15:19:45,109.17427,34.214493,424.0,4.4902
2013-12-22 15:19:57,109.17379,34.214268,424.0,4.4882
2013-12-22 15:20:25,109.17237,34.214237,421.0,4.4253
2013-12-22 15:21:28,109.169174,34.214718,425.0,4.6966
2013-12-22 15:22:12,109.16646,34.215748,422.0,5.316
2013-12-22 15:23:19,109.16336,34.21602,425.0,4.9897
2013-12-22 15:23:40,109.16272,34.21589,428.0,3.912
2013-12-22 15:25:05,109.16001,34.216305,456.0,2.9213
2013-12-22 15:25:46,109.15894,34.217007,465.0,2.9293
2013-12-22 15:26:06,109.15833,34.21705,467.0,2.8735
2013-12-22 15:26:41,109.15737,34.216625,471.0,2.736
2013-12-22 15:27:00,109.15677,34.216633,473.0,2.7916
2013-12-22 15:27:59,109.154854,34.21752,481.0,3.2287
2013-12-22 15:28:15,109.15434,34.217552,483.0,3.2759
2013-12-22 15:33:52,109.1527,34.21705,493.0,0.5803
2013-12-22 15:34:07,109.152145,34.21739,493.0,0.5756
2013-12-22 15:34:16,109.151695,34.21743,494.0,4.2338
2013-12-22 15:35:39,109.149536,34.218483,501.0,2.9231
2013-12-22 15:36:19,109.148445,34.218616,516.0,2.6556
2013-12-22 15:36:30,109.14808,34.218533,521.0,2.6273
2013-12-22 15:36:51,109.14776,34.21803,527.0,2.832
2013-12-22 15:37:06,109.1482,34.217697,530.0,2.6003
2013-12-22 15:37:30,109.14918,34.21773,533.0,3.4554
2013-12-22 15:37:39,109.14955,34.2176,534.0,3.7757
2013-12-22 15:39:07,109.15147,34.215527,550.0,3.3301
2013-12-22 15:39:34,109.15218,34.21512,554.0,3.1894
2013-12-22 15:39:41,109.15243,34.21512,558.0,2.9176
2013-12-22 15:42:08,109.15644,34.2125,579.0,3.17
2013-12-22 15:43:37,109.157974,34.210445,586.0,3.0851
2013-12-22 15:43:56,109.15871,34.210407,587.0,2.8947
2013-12-22 15:44:17,109.15947,34.210648,588.0,3.4851
2013-12-22 15:44:31,109.159874,34.210472,589.0,3.0652
2013-12-22 15:44:44,109.159904,34.21018,596.0,2.4289
2013-12-22 15:45:04,109.15928,34.20986,598.0,2.6443
2013-12-22 15:45:41,109.15773,34.20995,594.0,3.5358
2013-12-22 15:47:26,109.15472,34.210835,606.0,3.0501
2013-12-22 15:48:46,109.15229,34.21122,617.0,2.8097
2013-12-22 15:49:25,109.15128,34.211765,624.0,2.7966
2013-12-22 15:49:37,109.15092,34.211758,628.0,2.7345
2013-12-22 15:49:49,109.15073,34.21139,631.0,2.7312
2013-12-22 15:49:59,109.150986,34.21115,632.0,3.0854
2013-12-22 15:53:37,109.15351,34.210365,638.0,1.2276
2013-12-22 15:55:56,109.15676,34.207623,660.0,1.849
2013-12-22 15:56:25,109.15736,34.206944,666.0,3.0932
2013-12-22 15:56:45,109.15792,34.206566,669.0,3.2393
2013-12-22 15:57:16,109.15912,34.206375,676.0,3.4074
2013-12-22 15:58:31,109.16228,34.206787,682.0,3.7896
2013-12-22 15:58:40,109.16247,34.20666,686.0,3.6868
2013-12-22 15:58:49,109.16244,34.206467,686.0,2.1391
2013-12-22 15:59:02,109.161896,34.20632,689.0,2.9512
2013-12-22 15:59:43,109.16025,34.206318,696.0,3.7421
2013-12-22 16:00:17,109.159,34.20595,690.0,3.593
2013-12-22 16:00:43,109.15806,34.205997,692.0,3.4089
2013-12-22 16:01:04,109.15736,34.206253,696.0,3.2879
2013-12-22 16:03:38,109.1516,34.209534,730.0,4.0711
2013-12-22 16:05:49,109.14971,34.21011,730.0,2.8909
2013-12-22 16:05:58,109.1493,34.210052,729.0,1.5657
2013-12-22 16:07:48,109.146194,34.20439,714.0,5.9958
2013-12-22 16:08:06,109.14579,34.203236,709.0,6.4357
2013-12-22 16:08:35,109.1456,34.20132,704.0,7.3556
2013-12-22 16:09:38,109.143974,34.198067,692.0,6.5059
2013-12-22 16:09:55,109.1447,34.197525,691.0,5.3753
2013-12-22 16:10:51,109.148445,34.195393,691.0,6.9512
2013-12-22 16:11:33,109.1509,34.194218,686.0,6.9236
2013-12-22 16:11:35,109.15104,34.194263,687.0,6.1301
2013-12-22 16:12:33,109.15448,34.19258,684.0,6.2714
2013-12-22 16:13:01,109.15602,34.19161,685.0,6.335
2013-12-22 16:13:05,109.15628,34.191593,686.0,6.2072
2013-12-22 16:14:13,109.16019,34.189667,681.0,6.114
2013-12-22 16:15:35,109.164764,34.187077,688.0,6.1864
2013-12-22 16:21:09,109.18363,34.17742,696.0,6.1302
2013-12-22 16:22:13,109.18799,34.175533,692.0,6.2625
2013-12-22 16:28:30,109.20921,34.167442,700.0,5.8996
2013-12-22 16:30:18,109.2138,34.165054,697.0,5.4536
2013-12-22 16:32:26,109.21732,34.163513,686.0,3.6638
2013-12-22 16:33:15,109.2175,34.163643,694.0,2.1177
2013-12-22 16:33:37,109.21737,34.163895,694.0,0.6018
2013-12-22 16:34:28,109.217285,34.16367,700.0,0.2741
2013-12-22 16:35:22,109.217445,34.163532,702.0,0.39
2013-12-22 16:35:58,109.21735,34.16374,702.0,0.1091
2013-12-22 16:36:34,109.21759,34.16349,702.0,0.1963
2013-12-22 16:43:52,109.21742,34.16365,709.0,0.0251
2013-12-22 16:44:26,109.2177,34.16331,706.0,0.0475
2013-12-22 16:44:39,109.21744,34.163605,706.0,0.1134
2013-12-22 16:50:34,109.227684,34.159866,707.0,2.7045
2013-12-22 16:52:17,109.23064,34.15833,708.0,2.9449
2013-12-22 16:53:57,109.2342,34.157196,702.0,3.2957
2013-12-22 16:54:35,109.23494,34.158173,699.0,2.8699
