time,Lon,Lat,altitude,speed
2012-02-25 08:02:36,108.98424,34.23756,417.0,0.0
2012-02-25 08:04:46,108.98872,34.23939,419.0,0.0
2012-02-25 08:06:19,108.99253,34.2411,423.0,3.8462
2012-02-25 08:08:11,108.99677,34.24284,414.0,4.0659
2012-02-25 08:08:14,108.9975,34.24279,415.0,4.2956
2012-02-25 08:08:23,108.99763,34.24271,420.0,6.6969
2012-02-25 08:08:49,108.99703,34.24331,433.0,2.0622
2012-02-25 08:10:08,108.99699,34.24771,446.0,5.3246
2012-02-25 08:10:23,108.99682,34.24834,447.0,5.9537
2012-02-25 08:10:36,108.99711,34.24841,449.0,2.8076
2012-02-25 08:11:41,108.99706,34.25065,431.0,3.3052
2012-02-25 08:11:57,108.99714,34.25108,429.0,3.6655
2012-02-25 08:11:58,108.99703,34.25101,429.0,2.3603
2012-02-25 08:11:59,108.99717,34.25099,428.0,5.1902
2012-02-25 08:13:01,108.99703,34.25117,427.0,0.2824
2012-02-25 08:14:00,108.99701,34.2541,418.0,2.8606
2012-02-25 08:14:14,108.9969,34.25489,416.0,5.6687
2012-02-25 08:15:44,108.99699,34.25889,416.0,5.1214
2012-02-25 08:16:02,108.99707,34.2594,418.0,4.6457
2012-02-25 08:16:18,108.99652,34.26006,416.0,4.0318
2012-02-25 08:16:47,108.99581,34.26109,418.0,4.9051
2012-02-25 08:17:32,108.9957,34.26253,419.0,3.8487
2012-02-25 08:20:23,108.99574,34.26542,428.0,2.2292
2012-02-25 08:20:35,108.99609,34.26575,428.0,1.9663
2012-02-25 08:20:54,108.99574,34.26632,428.0,3.2282
2012-02-25 08:21:05,108.99566,34.26673,429.0,3.8638
2012-02-25 08:21:33,108.99579,34.26773,422.0,4.0219
2012-02-25 08:22:17,108.99583,34.26926,418.0,3.9133
2012-02-25 08:22:32,108.99636,34.26949,414.0,3.4337
2012-02-25 08:35:26,109.01632,34.26945,422.0,2.3865
2012-02-25 08:36:00,109.01796,34.2695,414.0,2.4565
2012-02-25 08:38:18,109.02505,34.27143,403.0,4.8364
2012-02-25 08:38:58,109.02709,34.27169,405.0,4.9078
2012-02-25 08:40:14,109.03063,34.272,401.0,4.4538
2012-02-25 08:41:10,109.03311,34.2724,400.0,4.2331
2012-02-25 08:47:14,109.04681,34.27519,416.0,3.6392
2012-02-25 08:51:05,109.05562,34.27543,418.0,3.5221
2012-02-25 08:51:19,109.05604,34.27498,416.0,3.4629
2012-02-25 08:51:34,109.0564,34.27482,417.0,3.4027
2012-02-25 08:51:49,109.05677,34.27489,416.0,2.2606
2012-02-25 08:52:08,109.05689,34.27509,415.0,1.5916
2012-02-25 08:52:21,109.05688,34.2754,415.0,1.8001
2012-02-25 08:52:35,109.05674,34.27582,414.0,3.0494
2012-02-25 08:52:48,109.05699,34.27615,415.0,3.1113
2012-02-25 08:53:03,109.05743,34.27645,415.0,3.3744
2012-02-25 08:57:17,109.06745,34.27847,406.0,3.6993
2012-02-25 08:57:43,109.06889,34.27858,406.0,3.8546
2012-02-25 08:59:09,109.07334,34.27858,409.0,4.8332
2012-02-25 09:02:50,109.08196,34.27733,410.0,3.9378
2012-02-25 09:03:30,109.08346,34.27671,406.0,3.6506
2012-02-25 09:04:47,109.08634,34.27578,406.0,3.7419
2012-02-25 09:05:02,109.08675,34.27529,403.0,3.7071
2012-02-25 09:06:02,109.08875,34.27387,408.0,4.091
2012-02-25 09:07:49,109.09221,34.27116,411.0,4.0728
2012-02-25 09:08:02,109.09267,34.27088,411.0,4.0849
2012-02-25 09:08:17,109.09325,34.2707,409.0,3.8712
2012-02-25 09:11:21,109.10129,34.26921,410.0,4.0883
2012-02-25 09:14:52,109.11107,34.2658,406.0,4.3691
2012-02-25 09:16:36,109.1151,34.26432,415.0,4.383
2012-02-25 09:16:55,109.11573,34.26393,416.0,3.8703
2012-02-25 09:17:12,109.11625,34.26342,417.0,4.043
2012-02-25 09:17:48,109.11702,34.26209,417.0,4.4616
2012-02-25 09:18:42,109.11891,34.26062,419.0,4.3983
2012-02-25 09:19:01,109.11964,34.26026,420.0,4.3185
2012-02-25 09:19:20,109.12047,34.25999,421.0,4.1991
2012-02-25 09:19:38,109.12124,34.25962,420.0,4.4151
2012-02-25 09:20:54,109.12361,34.25754,424.0,4.2218
2012-02-25 09:22:06,109.12634,34.25544,423.0,4.4601
2012-02-25 09:23:17,109.12877,34.25397,426.0,4.3248
